ANL,FH,PE,SE,AWL,CD,CH,CL,FLA,FLL,FLW,GL,GWE,GWI,PL,PS,SN,AWC,BLSC,SC
0.3,73,4.3,1,4,0.5,25,84,38,23.2,1.1,8.68,0.62,2.51,20.3,0,40,1,0,1
0.3,85,3.3,1,6.3,0.4,45,69,27,21,0.8,8.18,0.54,2.35,19.2,0,25,0,0,1
0.28,78,2.7,1,4.3,0.47,40,70,37,10.8,0.7,8.85,0.6,2.44,19.7,0,39,1,0,1
0.34,83,7.3,0,5.7,0.43,45,85,45,23.7,1.1,8.85,0.6,2.44,21.3,0,35,0,1,1
0.3,82,7.5,1,5.2,0.53,45,88,77,22.8,1,8.42,0.69,2.61,22.5,33,53,1,0,0
0.33,79,4.2,0,7.2,0.4,50,79,43,21.7,0.8,8.51,0.58,2.51,21.2,0,33,0,1,1
0.24,79,3,1,5.7,0.5,40,73,77,22,0.9,9.06,0.66,2.59,18.7,0,51,0,0,1
0.32,74,0.5,1,4.2,0.4,35,70,38,17.7,0.8,8.85,0.6,2.44,22.8,0,36,1,0,0
0.31,78,5.7,1,0.7,0.53,45,88,65,20.2,1,8.93,0.64,2.44,19.5,25,49,1,0,0
0.27,91,1.8,1,4,0.47,35,76,47,18.5,0.9,8.71,0.69,2.58,19.3,0,36,1,1,1
0.31,85,5.3,0,6.5,0.47,45,79,45,20.7,0.9,9.17,0.67,2.73,21,22,36,0,0,1
0.35,64,4.7,1,4.3,0.5,35,88,62,18.8,1,8.6,0.64,2.69,20.8,27,52,1,0,1
0.33,63,3,0,6.2,0.37,40,72,67,18.3,0.9,9.07,0.57,2.37,21.3,27,35,1,1,1
0.3,65,4.8,1,5.7,0.47,40,79,48,29.2,0.9,9.31,0.6,2.53,22.5,10,45,1,0,1
0.31,75,8.3,1,5.8,0.43,45,82,48,18.5,0.9,9.3,0.55,2.77,22.8,28,41,1,0,1
0.25,63,0,1,4.3,0.4,35,71,33,20,1.1,8.85,0.6,2.44,19.2,0,44,1,1,1
0.28,70,8,1,5.2,0.43,50,86,42,19,0.9,9.22,0.6,2.21,21,27,48,1,0,1
0.3,62,3,1,3.7,0.43,20,95,50,19.8,0.9,9.19,0.66,2.58,19.2,0,42,1,0,1
0.31,65,5.3,1,6.3,0.47,40,89,67,30.2,1.2,8.39,0.56,2.64,24.2,27,75,0,0,1
0.31,68,4.7,1,4.2,0.47,45,91,58,19.3,0.9,9.09,0.59,2.24,17.7,0,26,1,0,1
0.25,76,3.8,1,3.8,0.37,15,74,20,18.7,0.8,8.25,0.42,2.41,15.8,0,19,0,0,1
0.38,84,11.5,1,5.5,0.43,45,117,23,23.8,1,8.77,0.65,2.39,22.5,23,41,1,0,1
0.3,64,6.8,1,6.3,0.5,45,75,77,21.5,1.2,8.37,0.6,2.53,20.8,25,63,1,0,1
0.3,72,7.8,1,3.8,0.53,35,94,55,19,1,8.45,0.65,2.71,20.8,40,52,0,0,1
0.33,63,7.2,1,7.2,0.4,40,95,60,23,1.1,9.24,0.59,2.46,23.2,27,44,0,0,1
0.31,79,5.5,1,5.2,0.3,55,79,40,14.8,0.7,8.8,0.61,2.44,17,0,21,1,1,1
0.31,72,6.2,1,6.7,0.5,55,81,47,26.8,1.1,8.79,0.66,2.52,22.8,23,60,0,1,1
0.3,70,3,1,4.8,0.5,45,75,52,16.2,0.8,8.85,0.6,2.44,20.3,0,27,1,0,1
0.28,65,0,1,1.8,0.43,20,69,33,15,0.8,8.65,0.59,2.24,15.2,0,18,1,0,1
0.3,75,8.3,1,6.5,0.53,40,84,48,22.8,1.1,8.72,0.62,2.38,22,30,44,0,1,1
0.3,89,5.3,1,7,0.47,45,86,78,22.3,1,8.16,0.62,2.54,22.2,30,48,1,0,1
0.3,71,0.7,1,4.7,0.5,40,73,47,18,0.7,8.85,0.6,2.44,17,30,29,1,0,1
0.28,74,5.7,1,5.8,0.43,35,92,68,23.7,0.8,8.56,0.62,2.39,21.3,23,34,1,0,1
0.35,70,8.3,1,3.7,0.37,50,87,47,14.2,0.8,8.98,0.55,2.26,18.3,0,31,1,0,1
0.3,72,2.5,1,4.7,0.37,50,65,43,11.2,0.9,8.85,0.6,2.44,16.2,0,18,1,0,1
0.35,63,5.5,1,4.5,0.47,35,85,70,17.2,0.7,8.75,0.66,2.56,16.2,0,41,0,0,1
0.3,62,2.2,1,7.2,0.43,40,78,67,19.5,0.8,8.74,0.67,2.46,18.8,0,27,1,0,1
0.3,66,3,1,7.3,0.53,50,70,43,18.3,0.9,8.76,0.68,2.71,24.3,33,42,0,0,1
0.3,73,6.7,1,5.3,0.43,30,87,62,21.3,0.9,9.02,0.61,2.46,19,23,35,1,0,1
0.37,88,6.5,1,5.8,0.33,50,66,37,19.8,1,8.54,0.54,2.34,22.2,0,30,1,0,1
0.31,70,5,1,4.5,0.43,35,89,42,18.8,0.6,8.85,0.6,2.44,17.5,0,14,1,0,1
0.34,64,6,0,5,0.47,40,85,70,17.3,0.8,8.85,0.6,2.44,18,23,27,1,0,1
0.3,63,6,0,5.3,0.5,40,85,45,18.2,1,9.22,0.7,2.54,20.5,28,48,1,0,1
0.31,72,6.8,1,4.3,0.5,45,86,47,19.3,1,9.45,0.6,2.5,19.3,20,40,1,1,1
0.31,85,6.7,1,5.7,0.43,40,89,68,19.7,0.8,8.46,0.54,2.43,23.3,22,36,0,0,1
0.25,68,3.3,1,7.7,0.43,60,86,68,23.5,1.1,8.91,0.56,2.59,24.7,17,52,1,0,1
0.28,69,4.2,1,5.7,0.37,55,88,75,21.7,0.9,9.01,0.61,2.44,19.3,0,34,1,0,1
0.32,76,6.7,1,4.8,0.5,50,81,52,20.8,0.9,9.59,0.65,2.38,21,28,39,1,0,1
0.32,70,3.5,1,4.7,0.4,35,82,33,17.5,0.9,8.85,0.6,2.44,18.8,0,28,1,0,0
0.33,65,6.8,1,6.2,0.43,35,96,42,19.3,1,8.98,0.64,2.33,22,0,34,0,1,1
0.31,68,3.3,1,5.2,0.53,50,91,77,26,0.9,8.56,0.57,2.42,20.3,22,46,1,1,1
0.33,73,6.5,1,8.5,0.5,60,75,70,23.2,1.1,8.21,0.58,2.54,21.7,22,57,1,0,1
0.28,88,7.5,1,6,0.47,40,90,53,21.2,1,8.85,0.65,2.61,19.8,0,37,0,1,1
0.25,73,2.8,0,5,0.47,50,63,43,21.2,1.2,9.35,0.62,2.65,16.7,0,43,1,1,1
0.35,79,7.3,1,7.3,0.4,25,82,37,20.3,0.9,8.77,0.58,2.42,19.3,0,30,1,0,1
0.3,87,5,0,6.3,0.43,40,91,80,26,1.1,9.02,0.65,2.56,23.7,28,60,1,0,1
0.33,70,4.3,1,4.2,0.43,30,82,43,19.5,0.9,9.24,0.6,2.81,16.8,0,33,0,1,1
0.28,73,4.3,1,4.2,0.47,45,96,63,20.5,0.9,8.6,0.53,2.38,17.5,25,40,1,1,0
0.3,66,3.8,1,4.7,0.4,25,91,38,20.7,0.8,9.45,0.67,2.55,20.5,28,35,1,0,0
0.25,81,5.8,1,3.8,0.37,30,76,32,14,0.7,8.21,0.58,2.35,14.7,0,21,1,1,1
0.31,69,6,1,4.8,0.43,50,97,67,26.2,1.1,8.16,0.6,2.47,19,27,60,0,0,1
0.34,73,6.3,1,4,0.4,35,94,55,18,0.9,8.85,0.6,2.44,21.7,0,27,1,0,1
0.23,65,5.7,1,4.3,0.47,50,95,87,23,1.2,8.05,0.59,2.42,21.7,27,60,1,0,0
0.31,63,5.5,1,7.2,0.43,35,89,53,23.3,0.8,8.68,0.55,2.44,18.8,15,33,0,0,1
0.33,105,4.2,1,6.5,0.43,60,88,68,27.2,0.9,8.75,0.61,2.6,24.7,27,51,1,0,1
0.28,69,8.2,1,4.8,0.4,45,97,88,16.7,0.9,8.85,0.6,2.44,16.7,0,19,1,0,1
0.34,66,3.8,1,7.5,0.47,50,82,62,21,0.8,8.38,0.58,2.37,20.5,0,29,1,1,1
0.3,63,11.2,1,6.5,0.5,30,104,48,20.8,1,8.71,0.64,2.75,23.7,30,41,1,1,0
0.31,79,6.7,1,7.3,0.33,30,91,60,17.7,0.9,8.86,0.61,2.4,22.3,0,36,1,0,1
0.4,97,8.7,1,5.7,0.37,35,87,52,16.2,0.8,9.02,0.6,2.12,21.7,32,35,0,0,1
0.3,71,3.5,1,4.2,0.43,40,76,75,17.3,0.9,8.6,0.66,2.49,20.2,0,32,1,1,0
0.31,70,4.3,1,6.3,0.43,40,73,43,22.8,0.9,9.25,0.74,2.5,20.8,27,36,0,1,1
0.3,68,6.8,1,5.3,0.5,40,91,48,23.2,1,9.17,0.67,2.48,21.2,27,53,1,0,1
0.27,73,5.5,1,4.7,0.4,55,94,68,22.2,1,8.72,0.6,2.45,21.5,30,46,1,1,1
0.23,78,2.7,1,3.8,0.47,40,72,67,15.3,0.8,8.36,0.56,2.44,16.3,0,26,1,0,1
0.32,73,3.8,1,7.5,0.5,50,94,63,20,0.9,8.25,0.56,2.36,23.7,28,46,1,0,1
0.31,76,5.5,1,8.2,0.47,50,95,67,26.2,1.1,8.33,0.61,2.53,25.8,0,52,0,1,1
0.33,79,7.2,1,6.8,0.43,50,85,63,17.7,0.9,9.64,0.61,2.36,19,30,34,1,1,1
0.31,62,5.5,1,3.8,0.33,45,87,58,23.7,1.1,8.74,0.59,2.22,18.2,0,29,1,0,0
0.27,64,7.8,1,6.8,0.5,50,96,35,23.7,0.8,8.52,0.6,2.51,21.2,17,43,1,1,1
0.34,85,7.2,1,5,0.4,30,90,60,23.2,0.9,9.08,0.59,2.18,18.2,30,29,1,0,0
0.33,64,7.8,1,6.3,0.4,55,91,58,21.3,0.8,8.62,0.67,2.29,25.7,35,52,0,0,1
0.32,103,5.8,1,6.8,0.43,50,102,85,26.3,0.9,8.95,0.61,2.32,27.2,42,44,1,0,1
0.35,77,7.7,1,8,0.43,50,95,53,17,0.9,8.99,0.68,2.59,23.5,28,30,0,0,1
0.31,89,7.2,1,5.8,0.5,50,105,63,26.3,1,8.94,0.56,2.36,22.2,27,44,1,0,1
0.28,79,3.3,1,4.2,0.4,30,75,52,16.8,0.9,9.89,0.68,2.47,19,0,35,0,0,1
0.3,73,5.3,1,6.2,0.47,40,85,55,15,0.7,8.98,0.54,2.61,18,0,26,1,1,1
0.32,82,5,1,2,0.5,55,95,65,17,0.7,8.98,0.59,2.32,21.8,0,28,1,0,0
0.26,74,2.5,1,6,0.43,40,66,60,15.3,0.9,8.73,0.67,2.79,19.3,25,39,1,0,1
0.3,84,6.5,1,5.3,0.37,35,81,58,19.3,1.1,8.92,0.59,2.59,20.3,28,36,1,0,1
0.32,63,5,1,4.8,0.47,50,89,32,18.2,1,9.48,0.63,2.44,20.3,35,45,1,0,1
0.32,80,9,1,4.2,0.37,35,98,52,23.2,0.8,8.9,0.55,2.24,17.5,0,25,1,0,1
0.3,79,4.5,1,2.3,0.43,50,90,73,16.3,0.9,8.72,0.58,2.7,20.5,25,46,1,0,0
0.32,73,1.5,1,5.8,0.43,50,83,53,22.3,0.9,8.56,0.58,2.57,25.2,32,61,1,0,1
0.3,72,0,1,4.2,0.4,50,64,30,16.8,0.8,8.67,0.61,2.64,16,0,20,1,0,1
0.28,74,5.7,1,8.3,0.47,50,88,65,21.8,0.6,8,0.5,2.23,21,20,35,1,0,1
0.27,63,4,1,1.5,0.47,50,77,63,16.8,1,8.75,0.67,2.66,20.2,27,36,1,0,0
0.3,65,3,1,6.3,0.4,45,72,60,22.2,0.9,8.72,0.63,2.73,21.3,0,55,1,0,1
0.32,78,4.2,1,5.8,0.53,45,85,58,22.2,0.9,9.02,0.64,2.72,19.3,12,33,1,0,1
0.3,72,4.3,1,5.2,0.53,60,81,73,18.5,0.9,9.12,0.66,2.43,18.2,0,32,1,0,1
0.25,72,2.2,1,4.7,0.5,45,93,58,19.8,0.8,9.06,0.58,2.38,16.8,30,27,0,0,0
0.33,64,4.7,1,5.8,0.43,40,86,82,17,0.9,9.77,0.59,2.49,19.2,25,33,1,0,1
0.32,70,4.8,1,7.3,0.37,45,83,58,22.2,0.9,8.52,0.57,2.35,20.2,0,40,0,0,1
0.34,71,5.7,1,6,0.47,50,93,57,20.5,0.8,8.79,0.57,2.24,20.3,25,39,1,0,1
0.25,78,3,1,5,0.5,50,79,47,18.5,1,8.87,0.7,2.57,19.2,0,35,1,0,0
0.33,73,4.8,1,6,0.4,55,77,60,18.7,0.8,9.41,0.6,2.37,20.7,30,35,0,0,1
0.26,76,0,1,6.3,0.57,25,76,30,17.7,0.8,9.15,0.65,2.62,17.7,0,30,0,1,1
0.3,65,0,1,6.5,0.5,45,71,32,20.2,1,8.6,0.65,2.67,24,0,53,0,0,1
0.28,82,5.3,1,7,0.5,45,87,53,19.7,1,8.66,0.61,2.7,22.3,30,51,0,1,1
0.31,67,4.5,1,4.8,0.37,25,81,75,15.2,0.8,9.16,0.57,2.57,17.3,0,25,1,1,1
0.31,77,7.5,1,4.5,0.37,50,94,55,21,0.9,8.11,0.5,2.33,22.7,33,42,1,0,1
0.31,70,4.3,1,3.8,0.5,30,69,45,13.7,0.8,8.86,0.56,2.32,14.5,0,30,1,1,1
0.35,91,3.7,1,3.3,0.4,45,74,48,20.5,0.7,9.02,0.51,2.22,21.3,0,36,1,1,1
0.34,73,3.8,1,4,0.47,45,82,57,21.5,1.1,8.17,0.56,2.45,22,30,45,1,0,1
0.32,76,5.2,1,6.3,0.43,30,91,28,25,0.9,9.19,0.59,2.42,21.2,0,21,0,0,1
0.35,79,5,1,5.7,0.5,50,72,65,22,1,8.72,0.67,2.57,20.8,33,36,1,0,1
0.28,79,1.8,1,5.7,0.53,50,77,68,24.3,1,8.49,0.64,2.59,22.3,30,63,1,0,1
0.28,74,4.3,1,7.2,0.47,50,83,38,22.5,1.4,9.23,0.71,2.7,23.5,25,40,1,0,1
0.35,85,4.3,1,5.8,0.47,50,69,63,15,0.7,9.53,0.67,2.56,21,0,28,1,0,1
0.3,80,7.5,1,6.3,0.43,45,85,50,17.5,0.9,9.69,0.63,2.71,23.5,18,38,1,1,1
0.31,82,5.8,1,6.8,0.5,50,79,40,23.3,1,8.39,0.58,2.56,22.7,27,51,1,1,1
0.28,70,3.7,1,7.2,0.4,55,77,22,30.2,1.2,8.4,0.61,2.76,17.8,0,35,1,0,0
0.34,68,3.7,1,6.7,0.5,50,73,62,20.7,0.8,8.93,0.61,2.5,24.3,23,42,0,0,1
0.37,70,5.7,1,5.3,0.5,60,85,50,17.8,0.9,8.94,0.54,2.49,19.7,0,44,0,1,1
0.3,76,4.7,1,5.7,0.43,35,80,52,18.3,0.9,8.8,0.61,2.43,20,25,59,1,0,1
0.38,72,2.2,1,6.2,0.43,45,77,42,23.8,0.8,8.67,0.51,2.12,19.8,0,25,1,0,1
0.3,84,5,1,5.2,0.47,50,92,42,19.8,0.9,9.43,0.56,2.45,20.5,27,35,1,1,1
0.4,103,6,1,5.2,0.47,45,71,40,21.2,0.8,8.85,0.6,2.44,22.8,15,36,1,0,1
0.3,74,7.8,1,4,0.5,25,95,55,17.3,0.8,8.65,0.57,2.3,16.7,0,35,1,0,1
0.28,74,5.3,1,4,0.5,50,87,62,18.8,0.9,9.37,0.62,2.44,19.8,38,38,1,0,0
0.35,65,3.7,1,5.7,0.4,30,87,42,22.7,0.9,9.32,0.64,2.5,19.3,0,24,0,0,1
0.36,81,5.2,1,6.7,0.33,45,86,60,17.5,0.8,8.49,0.65,2.66,19,27,31,1,0,1
0.25,64,3.5,0,4.8,0.5,50,62,50,17.2,1,8.61,0.66,2.64,18.7,0,43,1,0,1
0.35,73,5.8,1,6,0.47,60,77,47,13,0.8,9.27,0.6,2.35,21,35,31,1,0,1
0.25,68,3,1,3.8,0.53,50,83,65,19.7,1.1,8.68,0.53,2.44,21.2,32,61,0,0,0
0.25,83,3.8,1,5.5,0.43,40,64,68,19.3,1,8.97,0.61,2.65,18.5,0,23,1,0,1
0.35,72,5,1,3.3,0.57,60,89,80,23.3,0.8,9.5,0.55,2.22,18.8,27,35,1,0,1
0.3,75,1,1,4.5,0.4,45,70,57,12.5,0.7,9.08,0.58,2.33,20,33,38,1,0,1
0.25,69,8,1,6.3,0.47,40,84,48,24.7,1,8.91,0.69,2.76,21.8,32,48,1,1,1
0.3,86,9.2,1,6.3,0.47,45,89,60,25.7,1.1,8.85,0.62,2.34,27.5,38,41,1,0,1
0.25,66,4.2,1,3.2,0.5,60,66,68,17.3,0.7,8.59,0.55,2.45,14.3,0,25,1,1,1
0.27,63,0.7,1,5.3,0.5,60,57,18,15.7,1,7.92,0.55,2.56,17.7,0,46,1,0,1
0.27,73,1.2,1,0.8,0.53,50,61,50,20.7,1.1,9.33,0.62,2.65,18.3,0,55,1,0,0
0.33,86,8.7,1,4,0.47,50,72,63,22.7,1,8.94,0.59,2.41,22.7,28,50,1,0,1
0.45,98,5.5,1,5.3,0.5,45,67,60,23.8,0.8,8.93,0.59,2.42,22.7,28,34,1,0,1
0.3,77,2,1,5.2,0.43,50,68,67,19.3,0.8,8.86,0.59,2.43,20.3,0,36,1,0,0
0.3,70,0,1,5.5,0.57,30,65,62,21.3,0.9,8.89,0.66,2.31,20.7,0,37,1,0,1
0.32,79,4.3,1,3.5,0.4,45,65,63,19.5,0.9,8.95,0.59,2.35,19.7,0,26,1,1,1
0.32,107,2.7,1,4.3,0.5,50,84,63,19.8,0.8,9.28,0.63,2.45,22.7,22,38,1,0,1
0.31,72,2,1,4.8,0.53,40,69,62,20.2,0.7,8.41,0.57,2.36,21.8,22,37,1,1,1
0.28,79,0,1,2.2,0.6,50,55,77,15,0.8,8.85,0.62,2.28,16.3,0,46,1,0,0
0.2,83,0,1,4.8,0.47,60,64,67,27,1.1,9.37,0.62,2.3,20.7,0,46,1,0,1
0.28,78,0.8,1,6,0.33,65,48,60,23.2,0.8,9.26,0.64,2.38,19.5,0,30,1,1,1
0.28,70,0,0,3.5,0.43,50,50,55,18.3,0.7,8.7,0.63,2.23,13.7,0,24,1,1,1
0.3,73,0,1,2.7,0.57,50,70,52,21.7,0.8,8.41,0.53,2.34,21,20,52,1,0,0
0.3,73,0,1,4.7,0.53,60,64,47,23.5,1.1,8.97,0.61,2.43,21.7,42,63,1,0,1
0.21,70,0,1,1.3,0.43,30,48,57,18.2,1,8.85,0.6,2.44,12.7,0,30,1,0,1
0.28,70,0,0,4.7,0.37,35,55,30,13.5,0.6,8.59,0.58,2.53,13.2,0,32,1,0,1
0.3,70,0,1,3.7,0.37,60,59,97,16.8,1,8.85,0.6,2.44,17.5,22,31,1,0,1
0.28,72,0,1,5.7,0.57,60,71,63,23.3,1,8.81,0.53,2.49,20.7,0,44,1,1,1
0.3,66,0,1,4,0.53,45,60,50,18.7,0.9,9.13,0.64,2.49,15,0,33,1,0,1
0.28,87,3.2,1,4.5,0.53,50,96,33,21.3,0.9,8.85,0.6,2.44,24.3,23,51,1,0,1
0.28,73,1,1,1,0.47,40,63,63,22.2,1.1,8.45,0.59,2.41,16.8,0,60,1,0,1
0.37,87,4.5,1,4.7,0.43,50,83,65,22.2,1,8.59,0.6,2.49,18.8,0,31,1,1,0
0.32,98,1.3,1,3.8,0.67,50,76,57,31,1.1,9.11,0.54,2.03,23,37,48,1,0,0
0.23,81,0.7,1,4.2,0.33,30,46,58,18.3,0.9,8.79,0.62,2.17,16.2,0,33,1,0,1
0.3,77,0,1,6.2,0.5,40,65,58,19.2,0.9,9.46,0.66,2.39,20.2,35,33,1,0,1
0.31,82,5.5,1,2.7,0.57,50,72,75,23,0.8,8.53,0.52,2.12,17,0,29,1,0,1
0.3,88,0,1,4.7,0.53,50,61,68,24.3,1.1,7.92,0.52,2.39,21.7,0,53,1,0,1
0.3,88,0,1,4.2,0.5,55,61,65,21.8,0.8,8.24,0.48,2.34,20.3,0,40,1,0,1
0.3,82,1.7,1,2.7,0.5,40,61,55,19.8,0.7,8.59,0.62,2.56,20,0,33,1,0,1
0.33,91,0,1,4.2,0.5,35,51,38,20.5,0.9,8.42,0.54,2.49,16,10,23,1,1,0
0.28,82,0,1,2.7,0.5,60,59,55,21.3,0.9,9.04,0.64,2.56,19.7,0,42,1,0,1
0.4,73,1.8,1,3.5,0.53,50,57,68,15.3,0.7,8.58,0.52,2.31,18,0,30,1,0,1
0.2,69,0,1,4.3,0.33,50,54,65,18.7,0.8,8.79,0.68,2.63,17.5,0,26,1,0,1
0.37,78,0.7,1,5.2,0.5,45,54,53,20.3,0.7,9.29,0.58,2.43,18.3,0,30,1,0,1
0.3,75,0,1,3.3,0.43,40,63,60,20.8,1,8.62,0.55,2.22,19.3,25,39,1,0,1
0.3,73,4.3,1,4,0.43,60,65,58,25.2,0.8,8.7,0.6,2.34,18.7,0,38,1,0,1
0.26,86,0,1,2.8,0.37,45,61,60,17.7,0.9,8.85,0.6,2.44,18.7,23,46,1,0,1
0.27,72,3.5,0,5.3,0.47,50,58,57,17.3,0.7,9.33,0.54,2.63,15.3,0,18,1,1,1
0.3,80,0,1,1.3,0.5,50,61,53,17.8,0.7,9.13,0.59,2.39,12.8,0,40,1,0,0
0.25,77,3.5,1,3,0.63,50,67,58,23.8,1,9.13,0.57,2.21,19.3,0,42,1,0,1
0.31,77,2,1,2.3,0.5,45,52,47,17.5,0.7,9.16,0.53,2.26,17.5,0,36,1,0,0
0.33,82,4.7,1,3.2,0.5,50,60,47,21,0.9,8.44,0.49,2.13,20.3,0,32,1,0,1
0.25,83,0,0,1.7,0.47,50,54,52,19.7,0.9,8.35,0.58,2.44,15,0,45,1,1,1
0.25,70,0,1,4,0.53,30,65,45,21.5,1.1,8.84,0.59,2.45,19.7,0,61,1,0,1
0.4,74,4.8,1,6.8,0.53,30,72,57,23.3,1,9.17,0.65,2.36,21,25,44,1,0,1
0.2,73,0,1,4.5,0.4,50,58,73,26.8,1.1,8.02,0.59,2.66,21.3,28,57,1,0,1
0.31,81,4.2,1,3.2,0.5,50,72,62,24.7,1,8.5,0.58,2.38,19.8,0,57,1,0,1
0.3,81,1.7,1,5.2,0.5,50,59,80,20.8,1.1,8.98,0.61,2.29,16,0,36,1,0,1
0.32,73,0,1,5.5,0.7,60,81,67,19,0.9,9.01,0.58,2.27,24,37,42,1,0,1
0.25,70,0,1,4,0.57,35,65,52,23,1,8.05,0.42,2.34,20,0,75,1,1,1
0.3,76,0,0,3,0.43,30,48,43,15,0.7,8.85,0.6,2.44,15.8,0,40,1,1,1
0.31,78,2.3,1,1,0.5,40,61,57,18.7,0.9,8.43,0.53,2.24,15.7,0,43,1,0,1
0.27,76,0,1,4.7,0.57,50,59,73,20,1.1,8.23,0.56,2.47,20.2,0,57,1,1,1
0.24,71,0,1,2.8,0.43,50,48,45,10.3,0.6,9.27,0.45,2.61,17,0,17,1,0,1
0.28,68,0,1,1,0.33,35,63,43,18.3,0.9,9.51,0.55,2.39,13.3,0,40,1,1,0
0.31,103,7.2,1,4,0.63,70,89,85,31.8,1,9.08,0.57,2.38,22,17,55,1,0,0
0.4,91,4.2,1,5.8,0.43,35,85,62,23.2,0.8,9.69,0.62,2.51,22.2,27,32,1,0,1
0.31,93,0,0,3.3,0.53,50,68,55,19,0.8,9.35,0.67,2.58,20,0,35,1,0,0
0.3,69,3.8,1,4.2,0.43,50,65,75,17.8,1,8.7,0.55,2.73,19,0,44,1,0,1
0.3,70,0,1,5.2,0.43,50,76,67,29,1.1,9.13,0.53,2.27,23.7,30,53,1,0,1
0.25,72,1.7,1,3.3,0.33,50,50,55,18.7,0.7,8.11,0.56,2.45,14.7,0,37,1,0,1
0.3,77,0,1,4.2,0.53,45,50,27,16.7,0.9,8.85,0.6,2.44,14.3,0,28,1,0,1
0.37,92,4,1,6,0.63,55,47,45,22,0.8,8.97,0.58,2.54,22,13,47,1,0,1
0.3,89,0,1,2.5,0.47,45,67,50,21.7,1,9.07,0.56,2.46,20.3,25,41,1,0,0
0.28,73,0,1,2.5,0.47,60,62,63,25.5,0.9,8.79,0.56,2.3,19.8,37,56,1,0,1
0.28,71,0,1,3.5,0.47,35,67,52,19,0.8,8.85,0.6,2.44,15.3,0,32,1,0,1
0.18,69,0.5,1,3.5,0.5,55,61,52,22.8,1.1,8.25,0.58,2.26,17.8,0,57,1,0,1
0.3,71,0,1,2.2,0.43,45,66,63,25,1.1,8.78,0.62,2.42,21.5,35,53,1,0,0
0.32,108,7.5,1,6,0.5,55,97,82,28.7,0.8,8.19,0.53,2.31,27.5,45,37,1,0,1
0.22,69,0,1,2.7,0.43,30,53,38,19.3,1.1,9.84,0.69,2.39,18,0,38,1,1,0
0.3,71,3.2,1,3.3,0.5,45,54,55,17,0.7,8.8,0.57,2.5,16,0,38,1,0,0
0.27,77,0,1,1.3,0.4,50,59,58,22,1.2,8.79,0.55,2.44,17.2,0,63,1,0,0
0.24,68,0,1,4.5,0.57,50,56,55,19.3,1,9.04,0.65,2.58,17.7,40,45,1,0,1
0.33,105,2.3,1,3.5,0.5,60,69,80,21.3,0.9,8.52,0.59,2.3,20.7,15,42,1,0,1
0.39,69,5.8,1,5.8,0.43,40,63,62,18.3,1,8.83,0.68,2.57,15.7,0,26,1,0,1
0.4,76,8.8,1,4.3,0.47,50,76,87,18,0.9,8.61,0.53,2.36,19,23,41,1,0,1
0.22,68,0,1,2.5,0.53,50,55,63,21.3,0.8,8.99,0.63,2.53,17.7,30,51,1,0,1
0.3,99,4.5,1,6.2,0.47,40,61,43,19.5,0.9,8.81,0.61,2.33,17,0,25,1,0,1
0.3,78,0,1,5,0.5,40,53,28,14,0.7,9.64,0.56,2.09,16.7,0,23,1,0,1
0.2,67,0,1,3.5,0.43,20,55,60,15.7,1.1,8.6,0.65,2.45,15.7,0,42,1,0,1
0.31,67,11,1,5.7,0.53,40,82,45,25.7,1,8.8,0.59,2.46,23,22,65,1,0,1
0.21,67,0.5,1,3.5,0.4,40,55,55,24.3,0.9,8.6,0.62,2.65,18.2,0,37,1,0,0
0.28,103,1,1,5.8,0.43,0,62,32,18.7,0.9,8.72,0.54,2.3,19.3,0,29,1,0,1
0.2,68,0,1,1.8,0.47,45,59,55,14,0.8,9.1,0.66,2.33,17.3,0,45,1,0,0
0.28,74,0,1,3.3,0.53,60,74,72,27,1.2,8.94,0.65,2.23,22.7,45,77,1,0,1
0.28,76,0,1,5.7,0.5,50,60,70,22,1.1,8.4,0.57,2.57,19.8,40,50,1,0,1
0.21,81,0,1,1.7,0.47,60,60,58,25.7,0.8,8.6,0.64,2.11,18.8,0,40,1,0,0
0.3,81,0,1,4.3,0.5,60,64,57,19.5,0.7,8.82,0.54,2.42,20.7,40,33,1,0,1
0.28,74,0,1,2.2,0.4,65,69,60,19.7,1,9.17,0.58,2.26,18.7,40,45,1,1,1
0.3,92,1.7,1,3.3,0.47,40,52,58,12.7,0.8,9.01,0.52,2.3,13.8,0,27,1,0,1
0.31,76,0,1,5.8,0.47,50,73,72,23,0.8,9.01,0.6,2.42,23,40,60,1,1,1
0.2,86,0,1,2.8,0.43,45,52,50,22,0.8,7.57,0.55,2.48,17.5,0,35,1,0,0
0.24,81,0,1,2.7,0.57,60,75,65,32.7,1.1,8.04,0.51,2.26,23.3,38,69,1,0,0
0.4,99,3,1,6.2,0.5,45,78,38,24.3,0.8,8.67,0.61,2.68,19.8,25,41,1,0,1
0.3,78,0,0,3.5,0.53,45,49,73,15.8,0.8,9.21,0.57,2.42,17.2,0,33,1,0,0
0.4,76,2.3,1,5.2,0.57,50,62,52,19.3,0.9,8.93,0.59,2.42,17.7,0,30,1,0,1
0.3,67,2.8,1,5,0.5,45,69,47,19.3,0.9,8.68,0.59,2.29,19,38,37,1,1,1
0.3,65,5.3,1,2.7,0.47,55,85,92,24.8,0.8,8.97,0.56,2.26,21,42,46,1,1,1
0.23,89,2.2,1,3.8,0.4,40,56,47,21,1,8.46,0.49,2.46,16.5,0,31,1,0,1
